#;scans;Technique_of_Medical_Image;Plane;body_part;modality_label_rm;Secuence_label;calidad;modality_label_rx;modality_label_ct;modality_label_nm;modality_label_us;modality_label_light;modality_label_elec;modality_label_oph;Columna2;Contrast
11;s3DI_MC_HRSENSE;MRI;;;;;3D;;;;;;;;;
11;AxT2PROP;MRI;ax;;T2w;tse;;;;;;;;;;
11;Ax3DFIESTAC;MRI;ax;;;;3D;;;;;;;;;
11;DIFUSIONADC;MRI;;;dwi;;;;;;;;;;;
11;T2GRETRA;MRI;ax;;T2w;gre;;;;;;;;;;
11;t2_tse_cor_T2AR;MRI;cor;;T2w;tse;;;;;;;;;;
11;AXDWI3000b;MRI;ax;;dwi;;;;;;;;;;;
11;SAGITALSET1;MRI;sag;;T1w;;;;;;;;;;;
11;DIFUSIN;MRI;;;dwi;;;;;;;;;;;
11;AxINOUT;MRI;ax;;;;;;;;;;;;;
11;CORONALT2ALTARESOLUC;MRI;cor;;T2w;tse;;;;;;;;;;
11;MR1-coronal;MRI;cor;;;;;;;;;;;;;
11;AXIT1INFS;MRI;ax;;T1w;;;;;;;;;;;
11;T2W_TSE_HR;MRI;;;T2w;tse;;;;;;;;;;
11;3DSagittalT1Global;MRI;sag;;T1w;;3D;;;;;;;;;
11;CorT2FSE303;MRI;cor;;T2w;tse;;;;;;;;;;
11;sagstirCERVICAL;MRI;sag;;;stir;;;;;;;;;;
10;CORFLAIREPILEPSIA;MRI;cor;;;flair;;;;;;;;;;
10;SAGITALFSET1FS;MRI;sag;;T1w;;;;;;;;;;;
10;AX3DT1dorsal;MRI;ax;;T1w;;3D;;;;;;;;;
10;AXFAMEISOtropico;MRI;ax;;;;;;;;;;;;;
10;mIP_ImagesSW;MRI;;;;;;;;;;;;;;
10;Pha_Images;MRI;;;;;;;;;;;;;;
10;AxDPT230cte;MRI;ax;;T2w;tse;;;;;;;;;;
10;Mag_Images;MRI;;;;;;;;;;;;;;
10;AXIALT144C;MRI;ax;;T1w;;;;;;;;;;;
10;MPROb_Ax_SI_Average_sp094_th094;MRI;ax;;;;;;;;;;;;;
10;SWI_Images;MRI;;;SWI;;;;;;;;;;;
10;SAGTSET1;MRI;sag;;T1w;tse;;;;;;;;;;
10;3DAXISENOVENOSOANEUINTRA;MRI;ax;;;;3D;;;;;;;;;
10;ANTERIOR;MRI;;;;;;;;;;;;;;
10;Ax3DNAVEGACION;MRI;ax;;;;3D;;;;;;;;;
10;Individuallycapturedimages;MRI;;;;;;;;;;;;;;
10;axialFIESTAC;MRI;ax;;;;;;;;;;;;;
10;CorT1FSEThin;MRI;cor;;T1w;;;;;;;;;;;
10;MR2-sagital;MRI;sag;;;;;;;;;;;;;
10;MR1-3DLoc;MRI;;;;;3D;;;;;;;;;
10;AXGADO;MRI;ax;;;;;;;;;;;;;GD
10;2DPCsagsinus;MRI;sag;;;;;;;;;;;;;
10;DIFUSIONb1000;MRI;;;dwi;;;;;;;;;;;
10;SagT1FSATDCHO;MRI;sag;;T1w;;;;;;;;;;;
10;CORT2LOBTEMP;MRI;cor;;T2w;tse;;;;;;;;;;
10;AXFSPGR3D12C;MRI;ax;;;;3D;;;;;;;;;
10;CORT2FLAIRHIPOCAMPOS;MRI;cor;;;flair;;;;;;;;;;
10;COL2DPCsagsinus;MRI;sag;;;;;;;;;;;;;
10;AXIAL3DT1FSPGRGD;MRI;ax;;T1w;;3D;;;;;;;;;
10;AXIALFSPGR3Dcte;MRI;ax;;;;3D;;;;;;;;;
10;2DMERGE;MRI;;;;;;;;;;;;;;
10;SAGFIESTA;MRI;sag;;;;;;;;;;;;;
10;AXT2lumbar;MRI;ax;;T2w;tse;;;;;;;;;;
10;AXT2frfseasset;MRI;ax;;T2w;tse;;;;;;;;;;
10;t1_vibe_fs_AXIAL;MRI;ax;;T1w;;;;;;;;;;;
10;SAGFastCINEPC;MRI;sag;;;;;;;;;;;;;
10;T2WTSETRASENSE;MRI;ax;;T2w;tse;;;;;;;;;;
10;AXIALT2FSEFS;MRI;ax;;T2w;tse;;;;;;;;;;
10;AxT2FLAIRNORMAL;MRI;ax;;;flair;;;;;;;;;;
10;VASCAXIAL3D2FASES;MRI;ax;;;;3D;;;;;;;;;
10;AXIALT1PRE;MRI;ax;;T1w;;;;;;;;;;;
10;3DSAGSENOVENOSOANEUINTRA;MRI;sag;;;;3D;;;;;;;;;
10;NAVEGADOR;MRI;;;;;;;;;;;;;;GD
10;MR2-PILOTO3PLANOS;MRI;3pl;;;;;;;;;;;;;
10;OBLICUOT2EPILEPSIA;MRI;;;T2w;tse;;;;;;;;;;
10;CORT2LOBTEMPSIDETCOGNIT;MRI;cor;;T2w;tse;;;;;;;;;;
10;SAGT2frFSES;MRI;sag;;T2w;tse;;;;;;;;;;
10;DWIHR;MRI;;;dwi;;;;;;;;;;;
10;SAGT2LINEAMEDIA;MRI;sag;;T2w;tse;;;;;;;;;;
10;PosDisp14SAGITALT2IPATDORS;MRI;sag;;T2w;tse;;;;;;;;;;
10;3DSAGSENOARTERIAL;MRI;sag;;;;3D;;;;;;;;;
10;MPROb_Sag_RL_Average_sp081_th081;MRI;sag;;;;;;;;;;;;;
10;AXSWAN;MRI;ax;;;;;;;;;;;;;
9;CareBolus_cor_SUB;MRI;cor;;;;;;;;;;;;;
9;AxT1SECIV;MRI;ax;;T1w;;;;;;;;;;;
9;3DFIESTA;MRI;;;;;3D;;;;;;;;;
9;T2W_COR;MRI;cor;;T2w;tse;;;;;;;;;;
9;PROPeADC;MRI;;;;;;;;;;;;;;
9;SAGBRAVO;MRI;sag;;;;;;;;;;;;;
9;FLUJOAXIAL;MRI;ax;;;flair;;;;;;;;;;
9;SAG3DFIESTAC;MRI;sag;;;;3D;;;;;;;;;
9;AXIALINFATSAT;MRI;ax;;;;;;;;;;;;;
9;SAGT1FSE;MRI;sag;;T1w;;;;;;;;;;;
9;AXIALT2CISS_iso_06;MRI;ax;;T2w;tse;;;;;;;;;;
9;FSPGR3DAXIAL;MRI;ax;;;;3D;;;;;;;;;
9;3planeLocBH;MRI;3pl;;;;;;;;;;;;;
9;EvaSeries_tTest;MRI;;;;;;;;;;;;;;
9;CORT13D;MRI;cor;;T1w;;3D;;;;;;;;;
9;PROPCOMB;MRI;;;;;;;;;;;;;;
9;EPI_DIFUSION_B0_1000;MRI;;;dwi;;;;;;;;;;;
9;SagT1FSATIZQ;MRI;sag;;T1w;;;;;;;;;;;
9;AXT1FS;MRI;ax;;T1w;;;;;;;;;;;
9;CORONALT2orbitas;MRI;cor;;T2w;tse;;;;;;;;;;
9;act_MoCoSeries;MRI;;;;;;;;;;;;;;
9;Mean__tMaps;MRI;;;;;;;;;;;;;;
9;AXIALT1SEFSGD;MRI;ax;;T1w;;;;;;;;;;;
9;SAG3DFIESTA;MRI;sag;;;;3D;;;;;;;;;
9;AX3DT1cervicalcte;MRI;ax;;T1w;;3D;;;;;;;;;
9;SagT1DORSALGD;MRI;sag;;T1w;;;;;;;;;;;
9;LOCSAGITAL_MIP_SAG;MRI;sag;;;;;;;;;;;;;
9;DCHA;MRI;;;;;;;;;;;;;;
9;MPRgruesaRango3;MRI;;;;;;;;;;;;;;
9;SAGITALT2DORSAL;MRI;sag;;T2w;tse;;;;;;;;;;
9;SAGITALFLAIRCUBE13;MRI;sag;;;flair;;;;;;;;;;
9;SAGT1gdCERVICAL;MRI;sag;;T1w;;;;;;;;;;;
9;ANGIOTSAMultiphase;MRI;;;angio;;;;;;;;;;;
9;LocLUMBAR;MRI;;;;;;;;;;;;;;
9;EPI_DIFUSION_B0_1000_ADC;MRI;;;dwi;;;;;;;;;;;
9;SAGCINEFGRE;MRI;sag;;;;;;;;;;;;;
9;SAGHASTET2;MRI;sag;;T2w;haste;;;;;;;;;;
9;Ph1CorDynamicSella;MRI;cor;;;;;;;;;;;;;
9;rsfMRIsequence;MRI;;;;;;;;;;;;;;
9;PROPADC;MRI;;;;;;;;;;;;;;
9;MPROb_Sag_RL_Average_sp22_th22;MRI;sag;;;;;;;;;;;;;
9;AXFIESTA;MRI;ax;;;;;;;;;;;;;
9;COR3DFIESTA;MRI;cor;;;;3D;;;;;;;;;
8;MR1-SAGT1memp;MRI;sag;;T1w;;;;;;;;;;;
8;VSAGTRIDT1CLEAR;MRI;sag;;T1w;;;;;;;;;;;
8;Ph2CorDynamicSella;MRI;cor;;;;;;;;;;;;;
8;2DCAROTIDS;MRI;;;;;;;;;;;;;;
8;AXIALINFSORBITAS;MRI;ax;;;;;;;;;;;;;
8;Ph3CorDynamicSella;MRI;cor;;;;;;;;;;;;;
8;LOCVASCULAR;MRI;;;;;;;;;;;;;;
8;AXIALT2frFSECERVICAL;MRI;ax;;T2w;tse;;;;;;;;;;
8;AXIALT2CERVICAL;MRI;ax;;T2w;tse;;;;;;;;;;
8;CORT1ORBITAS;MRI;cor;;T1w;;;;;;;;;;;
8;SAGT1FAT;MRI;sag;;T1w;;;;;;;;;;;
8;ILLIS_AP;MRI;;;;;;;;;;;;;;
8;2DSagittalLocator;MRI;sag;;;;;;;;;;;;;
8;AXIALT2FINO3MM;MRI;ax;;T2w;tse;;;;;;;;;;
8;t1_tse_r_cor_2mm;MRI;cor;;T1w;tse;;;;;;;;;;
8;Ph4CorDynamicSella;MRI;cor;;;;;;;;;;;;;
8;SAGITALFLAIRT2CONTRASTE;MRI;sag;;;flair;;;;;;;;;;
8;AXIALT144CORTES;MRI;ax;;T1w;;;;;;;;;;;
8;MPRRango4;MRI;;;;;;;;;;;;;;
8;AXflujo10;MRI;ax;;;flair;;;;;;;;;;
8;CORSSFSEESCOLIOSIS;MRI;cor;;;;;;;;;;;;;
8;TRAFFET2SENSE;MRI;ax;;T2w;tse;;;;;;;;;;
8;COR3DFSPGREPILEPSIA;MRI;cor;;;;3D;;;;;;;;;
8;isoDIFUSIONSENSE;MRI;;;dwi;;;;;;;;;;;
8;Ph5CorDynamicSella;MRI;cor;;;;;;;;;;;;;
8;3D_HiResSENSE;MRI;;;;;3D;;;;;;;;;
8;eDIFUSIONSENSE;MRI;;;dwi;;;;;;;;;;;
8;dDIFUSIONSENSE;MRI;;;dwi;;;;;;;;;;;
8;AXFAMEGD;MRI;ax;;;;;;;;;;;;;
8;RegDIFUSIONSENSE;MRI;;;dwi;;;;;;;;;;;
8;3DSAGSENOMASCARA;MRI;sag;;;;3D;;;;;;;;;
8;CorDynamicSella;MRI;cor;;;;;;;;;;;;;
8;CORSSFSET2;MRI;cor;;T2w;tse;;;;;;;;;;
8;cort1cte;MRI;cor;;T1w;;;;;;;;;;;
8;Ph6CorDynamicSella;MRI;cor;;;;;;;;;;;;;
8;PC_DIR_FLUJO_AXIAL__KING__P;MRI;ax;;;flair;;;;;;;;;;
8;PROBESV35;MRI;;;;;;;;;;;;;;
8;AxialT2starWeightedscan;MRI;ax;;T2star;;;;;;;;;;;
8;CORONALT2LOBTEMPORALES;MRI;cor;;T2w;tse;;;;;;;;;;
8;AXIALT2GRE;MRI;ax;;T2w;gre;;;;;;;;;;
8;AxFRFSET240cortes;MRI;ax;;T2w;tse;;;;;;;;;;
8;MR1-PILOTO3PLANOS;MRI;3pl;;;;;;;;;;;;;
8;SAGFLAIRT2_3mm;MRI;sag;;;flair;;;;;;;;;;
8;SAGITALT1LUMBAR;MRI;sag;;T1w;;;;;;;;;;;
8;LOCSAGITAL;MRI;sag;;;;;;;;;;;;;
8;coronalt2FLAIRGADO;MRI;cor;;;flair;;;;;;;;;;GD
8;SAGT1CERVICALGD;MRI;sag;;T1w;;;;;;;;;;;
8;AXIALT1GDFSE;MRI;ax;;T1w;;;;;;;;;;;
8;SAGITALSTIRDORSAL;MRI;sag;;;stir;;;;;;;;;;
8;DIFUSION_ADC;MRI;;;dwi;;;;;;;;;;;
8;corINFATSAT;MRI;cor;;;;;;;;;;;;;
8;SAGT2DORSAL;MRI;sag;;T2w;tse;;;;;;;;;;
8;MPROb_Cor_AP_Average_sp081_th081;MRI;cor;;;;;;;;;;;;;
8;AXIT2FLAIRasset;MRI;ax;;;flair;;;;;;;;;;
8;MR2-coronal;MRI;cor;;;;;;;;;;;;;
8;3plT2FGREDORSAL;MRI;3pl;;T2w;gre;;;;;;;;;;
8;V3D_Brain_VIEW_FLAIROPCIONALSENSE;MRI;;;;flair;3D;;;;;;;;;
7;AXIT1FATSATGD;MRI;ax;;T1w;;;;;;;;;;;
7;SAGITALT1FS;MRI;sag;;T1w;;;;;;;;;;;
7;FLAIR_AXIAL;MRI;ax;;;flair;;;;;;;;;;
7;Vs3DI_MC_HRSENSE;MRI;;;;;3D;;;;;;;;;
7;OAxPWGREEPI10CORTES;MRI;ax;;;;;;;;;;;;;
7;Ax3DFSPGRFAMEGD;MRI;ax;;;;3D;;;;;;;;;
7;VASCCAROTIDAS_SUB;MRI;;;;;;;;;;;;;;
7;Truemidlinesagittalscan;MRI;sag;;;;;;;;;;;;;
7;SAGITALCTE;MRI;sag;;;;;;;;;;;;;
7;Ax3D;MRI;ax;;;;3D;;;;;;;;;
7;CORONALSSFSET2;MRI;cor;;T2w;tse;;;;;;;;;;
7;FLAIR_CORONAL;MRI;cor;;;flair;;;;;;;;;;
7;axFLAIR;MRI;ax;;;flair;;;;;;;;;;
7;CORONALT2LOBTEMPEPILEPSIA;MRI;cor;;T2w;tse;;;;;;;;;;
7;CorSSFSECERVICAL;MRI;cor;;;;;;;;;;;;;
7;AXIALT1FATSAT;MRI;ax;;T1w;;;;;;;;;;;
7;GDT1SETRACLEAR;MRI;ax;;T1w;;;;;;;;;;;
7;CORT13MMGD;MRI;cor;;T1w;;;;;;;;;;;
7;OAxT2GRE;MRI;ax;;T2w;gre;;;;;;;;;;
7;SAGITALSTIRHF;MRI;sag;;;stir;;;;;;;;;;
7;cor3dcerebralcte;MRI;cor;;;;3D;;;;;;;;;
7;CORONALCTE;MRI;cor;;;;;;;;;;;;;
7;SAGITAL3DT1IPAT;MRI;sag;;T1w;;3D;;;;;;;;;
7;PROBESV144;MRI;;;;;;;;;;;;;;
7;CORT1FS;MRI;cor;;T1w;;;;;;;;;;;
7;CORONALT2_;MRI;cor;;T2w;tse;;;;;;;;;;
7;AX3DT1MOROxAXT1;MRI;ax;;T1w;;3D;;;;;;;;;
7;VASCCAROTIDAS_SUB_MIP_COR;MRI;cor;;;;;;;;;;;;;
7;AXT144CGD;MRI;ax;;T1w;;;;;;;;;;;
7;AXIFL2DT1FATSAT_P;MRI;ax;;T1w;flair;;;;;;;;;;
7;tofcor;MRI;cor;;;;;;;;;;;;;
7;CORFSET23MM;MRI;cor;;T2w;tse;;;;;;;;;;
7;AXIALFL2DT1FATSAT_P_N;MRI;ax;;T1w;flair;;;;;;;;;;
7;SAGFSET1CERVICODORSAL;MRI;sag;;T1w;;;;;;;;;;;
7;AxT2frfseir;MRI;ax;;T2w;tse;;;;;;;;;;
7;SAGITALFSET2;MRI;sag;;T2w;tse;;;;;;;;;;
7;dRegDWISENSE;MRI;;;dwi;;;;;;;;;;;
7;SAGTRIDT1;MRI;sag;;T1w;;;;;;;;;;;
7;IZQ;MRI;;;;;;;;;;;;;;
7;LOCCORONAL_MIP_COR;MRI;cor;;;;;;;;;;;;;
7;AXT2ALTARESOLUCION;MRI;ax;;T2w;tse;;;;;;;;;;
7;AXMERGE;MRI;ax;;;;;;;;;;;;;
7;CORT13DGD;MRI;cor;;T1w;;3D;;;;;;;;;
7;FLUJOGRADIENTESAGITAL_P;MRI;sag;;;;;;;;;;;;;
7;SAGT1DORSOLUMBAR;MRI;sag;;T1w;;;;;;;;;;;
7;FLUJOGRADIENTESAGITAL_MAG;MRI;sag;;;;;;;;;;;;;
7;CORT13MM;MRI;cor;;T1w;;;;;;;;;;;
7;AXIALCTE;MRI;ax;;;;;;;;;;;;;
7;AXGD;MRI;ax;;;;;;;;;;;;;
7;SAGT1FATSAT;MRI;sag;;T1w;;;;;;;;;;;
7;SagT1FSORBDERECHAC;MRI;sag;;T1w;;;;;;;;;;;
7;SAGITALT1GDCERV;MRI;sag;;T1w;;;;;;;;;;;
7;FLUJOGRADIENTESAGITAL;MRI;sag;;;;;;;;;;;;;
7;SAGT2CISS_iso_06;MRI;sag;;T2w;tse;;;;;;;;;;
7;isoRegDWISENSE;MRI;;;dwi;;;;;;;;;;;
7;CORt1_fl3d_VIBE_3DXA8C;MRI;cor;;T1w;;3D;;;;;;;;;
7;AXI3DTOF;MRI;ax;;;;3D;;;;;;;;;
6;AXSTIRFSE;MRI;ax;;;stir;;;;;;;;;;
6;PC_DIR_FLUJO_AXIAL;MRI;ax;;;;;;;;;;;;;
6;WILLIS01;MRI;;;;;;;;;;;;;;
6;WILLIS02;MRI;;;;;;;;;;;;;;
6;COLSAGSENOSVENOSOS;MRI;sag;;;;;;;;;;;;;
6;T1_sag_2mm;MRI;sag;;T1w;;;;;;;;;;;
6;corcubeflair;MRI;cor;;;;;;;;;;;;;
6;SagT1MEMPGD;MRI;sag;;T1w;;;;;;;;;;;
6;flow_vencscout_691215;MRI;;;;;;;;;;;;;;
6;TOF3DPOLIGONO_MIP_SAG;MRI;sag;;;;3D;;;;;;;;;
6;IZDA;MRI;;;;;;;;;;;;;;
6;SAGITAL3DT1gd;MRI;sag;;T1w;;3D;;;;;;;;;
6;SAGITALT1CERVICAL_COMP_SP_2;MRI;sag;;T1w;;;;;;;;;;;
6;SAGITALT2CERVICAL_COMP_SP_1;MRI;sag;;T2w;tse;;;;;;;;;;
6;PosDisp10SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
6;corgd;MRI;cor;;;;;;;;;;;;;
6;2DMERGEcervical;MRI;;;;;;;;;;;;;;
6;SAGflujoantiguo;MRI;sag;;;;;;;;;;;;;
6;s3D_SENOSVEN;MRI;;;;;3D;;;;;;;;;
6;AXT240CFRFSE2NEX;MRI;ax;;T2w;tse;;;;;;;;;;
6;LOCCORONAL;MRI;cor;;;;;;;;;;;;;
6;axialT2dorsal40cte;MRI;ax;;T2w;tse;;;;;;;;;;
6;AXT2FLAIR25;MRI;ax;;T2w;tse;;;;;;;;;;
6;SagT1ORBIZQUIERDA;MRI;sag;;T1w;;;;;;;;;;;
6;AXIALFSPGRBRAVO;MRI;ax;;;;;;;;;;;;;
6;AXIAL3DISO10MIN;MRI;ax;;;;3D;;;;;;;;;
6;DIFFUSION;MRI;;;dwi;;;;;;;;;;;
6;MultiPlanarReconstructionMPROb_Cor_AP_Average_sp30_th;MRI;cor;;;;;;;;;;;;;
6;TOF3DPOLIGONO_MIP_TRA;MRI;ax;;;;3D;;;;;;;;;
6;T1TSEMT;MRI;;;T1w;tse;;;;;;;;;;
6;SagT1ORBDERECHA;MRI;sag;;T1w;;;;;;;;;;;
6;CorT2SSFSE;MRI;cor;;T2w;tse;;;;;;;;;;
6;SAGSENOSVENOSOS;MRI;sag;;;;;;;;;;;;;
6;AXDPT230GD;MRI;ax;;T2w;tse;;;;;;;;;;
6;LOCPERFUSION10CORTES;MRI;cor;;;;;;;;;;;;;
6;SAGITAL3DVENOSO_SUB_MIP_COR;MRI;sag;;;;3D;;;;;;;;;
6;AXDPFSE;MRI;ax;;;;;;;;;;;;;
6;CORT1C;MRI;cor;;T1w;;;;;;;;;;;
6;AXT2DP;MRI;ax;;T2w;tse;;;;;;;;;;
6;axgd;MRI;ax;;;;;;;;;;;;;
6;AXIALT2GAD;MRI;ax;;T2w;tse;;;;;;;;;;
6;T2TSEMT;MRI;;;T2w;tse;;;;;;;;;;
6;SAGFLAIRT1;MRI;sag;;T1w;;;;;;;;;;;
6;AxT1CONTRASTE;MRI;ax;;T1w;;;;;;;;;;;
6;AXHASTET2;MRI;ax;;T2w;haste;;;;;;;;;;
6;CORINFS;MRI;cor;;;;;;;;;;;;;
6;SAGT1DCHO;MRI;sag;;T1w;;;;;;;;;;;
6;TOF3DPOLIGONO_MIP_COR;MRI;cor;;;;3D;;;;;;;;;
6;MR1-AXGRADIENTET2;MRI;ax;;T2w;gre;;;;;;;;;;
6;AXT1PERFGD;MRI;ax;;pwi;;;;;;;;;;;
6;PROBESV35TAL;MRI;;;;;;;;;;;;;;
6;CORONAL_T2_2_5MM_LOB__TEMPORALES;MRI;cor;;T2w;tse;;;;;;;;;;
6;MR1-AXDWI1000bASSET;MRI;ax;;dwi;;;;;;;;;;;
6;VsT1W_3D_TFESENSE;MRI;;;T1w;;3D;;;;;;;;;
6;COL3DSENOSVENCONTRAS;MRI;ax;;;;3D;;;;;;;;;
6;3DSENOSVENCONTRAS;MRI;ax;;;;3D;;;;;;;;;
6;VIBEAXIALCEREBRAL;MRI;ax;;;;;;;;;;;;;
6;AXIAL3DFIESTANUEVO;MRI;ax;;;;3D;;;;;;;;;
6;AxMULTIVOXEL144TE;MRI;ax;;;;;;;;;;;;;
6;sagcubeflair;MRI;sag;;;;;;;;;;;;;
6;AXIAL3DVIBEGD;MRI;ax;;;;3D;;;;;;;;;
6;SAGITALSTIRLUMBAR;MRI;sag;;;stir;;;;;;;;;;
6;TRUFISAG3MM;MRI;sag;;;;;;;;;;;;;
6;SAGITALT2LUMBAR;MRI;sag;;T2w;tse;;;;;;;;;;
6;SAGITALSTIRCERVICAL;MRI;sag;;;stir;;;;;;;;;;
6;AXSEDP;MRI;ax;;;;;;;;;;;;;
6;TOF3DPOLIGONO;MRI;;;;;3D;;;;;;;;;
6;SAGT2ARHIPOFISIS;MRI;sag;;T2w;tse;;;;;;;;;;
6;AxT1hguv;MRI;ax;;T1w;;;;;;;;;;;
6;COROCUBEFLAIRT2;MRI;cor;;T2w;tse;;;;;;;;;;
6;3DFLAIRCOR;MRI;cor;;;;3D;;;;;;;;;
6;CorT1SECIV;MRI;cor;;T1w;;;;;;;;;;;
6;SAGT2DORSOLUMBAR;MRI;sag;;T2w;tse;;;;;;;;;;
6;SAGT2W_TSE;MRI;sag;;T2w;tse;;;;;;;;;;
6;OCorT2irFSEF;MRI;cor;;T2w;tse;;;;;;;;;;
6;MR1-AXDPT2FRFSE2NEX;MRI;ax;;T2w;tse;;;;;;;;;;
6;VASCANEURISMAART;MRI;;;;;;;;;;;;;;
6;PosDisp15SAGITALT2IPATDORS;MRI;sag;;T2w;tse;;;;;;;;;;
6;PosDisp8SAGITALT2IPATDORS;MRI;sag;;T2w;tse;;;;;;;;;;
6;SagT1FSORBIZQUIERDAC;MRI;sag;;T1w;;;;;;;;;;;
6;3D_Brain_VIEW_FLAIROPCIONAL;MRI;;;;;3D;;;;;;;;;
6;STIRTSEMT;MRI;;;;stir;;;;;;;;;;
6;SAGT1CERVICODORSAL;MRI;sag;;T1w;;;;;;;;;;;
6;AXIALT1FSEGD;MRI;ax;;T1w;;;;;;;;;;;
6;VASCANEURISMAVEN;MRI;;;;;;;;;;;;;;
6;VASCANEURISMAMASCARA;MRI;;;;;;;;;;;;;;
6;AXIALFLAIRCUBET2;MRI;ax;;T2w;tse;;;;;;;;;;
6;VSAGTRIDT1sagSENSE;MRI;sag;;T1w;;;;;;;;;;;
6;SAGITAL3DVENOSO_SUB_MIP_SAG;MRI;sag;;;;3D;;;;;;;;;
5;LOCDORSAL;MRI;;;;;;;;;;;;;;
5;SAGFSPGRBRAVOGD;MRI;sag;;;;;;;;;;;;;
5;CORT1MEMPCTE;MRI;cor;;T1w;;;;;;;;;;;
5;SAG3DVOLUMETRIA;MRI;sag;;;;3D;;;;;;;;;
5;corINFAT;MRI;cor;;;;;;;;;;;;;
5;AXIALVIBEFSVACIO;MRI;ax;;;;;;;;;;;;;
5;AXIAL3DT1VACIO;MRI;ax;;T1w;;3D;;;;;;;;;
5;AXIALT2CERVICALGD;MRI;ax;;T2w;tse;;;;;;;;;;
5;axcubeflair;MRI;ax;;;;;;;;;;;;;
5;SAGSTIRDORSAL;MRI;sag;;;stir;;;;;;;;;;
5;flash_6_inplane;MRI;;;;flash;;;;;;;;;;
5;AXDPT2frfse;MRI;ax;;T2w;tse;;;;;;;;;;
5;AXIAL3DT1FSPGR8C5CMGD;MRI;ax;;T1w;;3D;;;;;;;;;
5;AXIALT2LUMBAR;MRI;ax;;T2w;tse;;;;;;;;;;
5;AxDWI1000bASSET;MRI;ax;;dwi;;;;;;;;;;;
5;GADOLINIO;MRI;;;;;;;;;;;;;;GD
5;AXIALFLAIR40C;MRI;ax;;;;;;;;;;;;;
5;LOCCORT1TSE;MRI;cor;;T1w;tse;;;;;;;;;;
5;AXIALT1VIBE_p2GD;MRI;ax;;T1w;;;;;;;;;;;
5;CORFSET1;MRI;cor;;T1w;;;;;;;;;;;
5;2DPCaxsinus;MRI;ax;;;;;;;;;;;;;
5;sIR;MRI;;;;;;;;;;;;;;
5;AXT230GD;MRI;ax;;T2w;tse;;;;;;;;;;
5;AXIALGREHEMO;MRI;ax;;;;;;;;;;;;;
5;PosDisp13AXIALT2ME2DIPATCERVII;MRI;ax;;T2w;tse;;;;;;;;;;
5;PROBESV35SB;MRI;;;;;;;;;;;;;;
5;AXIALT2frFSEDORSAL;MRI;ax;;T2w;tse;;;;;;;;;;
5;T1IR512;MRI;;;T1w;;;;;;;;;;;
5;CORONALT2FLAIRLTAR;MRI;cor;;T2w;tse;;;;;;;;;;
5;LOCAXT1TSE;MRI;ax;;T1w;tse;;;;;;;;;;
5;VASCSENOS_MIP_SAG;MRI;sag;;;;;;;;;;;;;
5;_MIP_Rango_;MRI;;;;;;;;;;;;;;
5;CORGADO;MRI;cor;;;;;;;;;;;;;GD
5;CORT1FSAT3MMGD;MRI;cor;;T1w;;;;;;;;;;;
5;SagT1FSORBIZQUIERDA;MRI;sag;;T1w;;;;;;;;;;;
5;CORPSIRHIPPOCAMPUS2ACQ;MRI;cor;;;;;;;;;;;;;
5;CORONALT2AR;MRI;cor;;T2w;tse;;;;;;;;;;
5;CorSSFSEDORSAL;MRI;cor;;;;;;;;;;;;;
5;AXT230;MRI;ax;;T2w;tse;;;;;;;;;;
5;AX3DFSPGRISOTROPFAME;MRI;ax;;;;3D;;;;;;;;;
5;AXFLAIR44C;MRI;ax;;;;;;;;;;;;;
5;AxT2GREMERGE;MRI;ax;;T2w;gre;;;;;;;;;;
5;AXflujo15;MRI;ax;;;;;;;;;;;;;
5;AXT1FSPGR3DNAVEGADORsinasset;MRI;ax;;T1w;;3D;;;;;;;;;GD
5;Vascularmascara;MRI;;;;;;;;;;;;;;
5;SWAN;MRI;;;;;;;;;;;;;;
5;MultiPlanarReconstructionMPROb_Sag_RL_Average_sp30_th;MRI;sag;;;;;;;;;;;;;
5;MultiPlanarReconstructionMPROb_Ax_IS_Average_sp30_th;MRI;ax;;;;;;;;;;;;;
5;CORHASTET2;MRI;cor;;T2w;haste;;;;;;;;;;
5;AxDPFSE;MRI;ax;;;;;;;;;;;;;
5;SagSTIR;MRI;sag;;;stir;;;;;;;;;;
5;coronalt2FLAIRgd;MRI;cor;;T2w;tse;;;;;;;;;;
5;SagT1FSORBDERECHA;MRI;sag;;T1w;;;;;;;;;;;
5;COR_T2_LOB__TEMP__HR;MRI;cor;;T2w;tse;;;;;;;;;;
5;FLUJOGRADIENTEAXIAL10;MRI;ax;;;;;;;;;;;;;
5;SAGT1hguv;MRI;sag;;T1w;;;;;;;;;;;
5;AXIALT2FRFSE2NEX;MRI;ax;;T2w;tse;;;;;;;;;;
5;SAGT1LUMBARcte;MRI;sag;;T1w;;;;;;;;;;;
5;SAGFLAIR20C;MRI;sag;;;;;;;;;;;;;
5;AxT1TSEGD;MRI;ax;;T1w;tse;;;;;;;;;;
5;AXT1CTE;MRI;ax;;T1w;;;;;;;;;;;
5;AxLAVAXV;MRI;ax;;;;;;;;;;;;;
5;AXIALT1PERFUSIONGAD;MRI;ax;;pwi;;;;;;;;;;;
5;MultiPlanarReconstructionMPROb_Ax_SI_Average_sp098_th;MRI;ax;;;;;;;;;;;;;
